,Номенклатура,Цена,Количество,Сумма,total чека,Дата покупки,retailPlace,retailPlaceAddress,organization-name,organization-inn,seller-name,seller-inn,Полный чек (http://jsonviewer.stack.hu/),qr-code (single),qr-code,added_user_id,id категории
,Хлеб Восход Украинский новый 350г,33,1,33,33,2021-09-27 21:15,Супермаркет ТЦ,"630090, г. Новосибирск, ул. Ильича, д.6",ИП Геря А.В.,540823911368,ИП Геря А.В.,540823911368,"{'status': 2, 'id': '615afa1c9a3b7a373a5a808a', 'kind': 'kkt', 'createdAt': '2021-10-04T15:57:01+03:00', 'statusDescription': {}, 'qr': 't=20210927T2115&s=33.00&fn=9288000100189729&i=33029&fp=172151313&n=1', 'operation': {'date': '2021-09-27T21:15', 'type': 1, 'sum': 3300}, 'process': [{'time': '2021-10-04T12:57:01+00:00', 'result': 21}], 'query': {'operationType': 1, 'sum': 3300, 'documentId': 33029, 'fsId': '9288000100189729', 'fiscalSign': '172151313', 'date': '2021-09-27T21:15'}, 'ticket': {'document': {'receipt': {'dateTime': 1632766500, 'cashTotalSum': 0, 'code': 3, 'creditSum': 0, 'ecashTotalSum': 3300, 'fiscalDocumentFormatVer': 2, 'fiscalDocumentNumber': 33029, 'fiscalDriveNumber': '9288000100189729', 'fiscalSign': 172151313, 'fnsUrl': 'www.nalog.ru', 'items': [{'name': 'Хлеб Восход Украинский новый 350г', 'paymentType': 4, 'price': 3300, 'productType': 1, 'quantity': 1, 'sum': 3300}], 'kktRegId': '0004835830059645    ', 'ndsNo': 3300, 'operationType': 1, 'operator': 'кассир Идиятулина Юлия', 'prepaidSum': 0, 'provisionSum': 0, 'requestNumber': 144, 'retailPlace': 'Супермаркет ТЦ', 'retailPlaceAddress': '630090, г. Новосибирск, ул. Ильича, д.6', 'shiftNumber': 313, 'taxationType': 32, 'appliedTaxationType': 32, 'totalSum': 3300, 'user': 'ИП Геря А.В.', 'userInn': '540823911368'}}}, 'organization': {'name': 'ИП Геря А.В.', 'inn': '540823911368'}, 'seller': {'name': 'ИП Геря А.В.', 'inn': '540823911368'}}",t=20210927T211500&s=33.00&fn=9288000100189729&i=33029&fp=172151313&n=1,t=20210927T211500&s=33.00&fn=9288000100189729&i=33029&fp=172151313&n=1,,
,Шашлык из баранины по-Восточному п/ф,"1319,2","0,46","606,83","606,83",2021-09-27 21:11,Супермаркет ТЦ,"630090, г. Новосибирск, ул. Ильича, д.6",ИП Геря А.В.,540823911368,ИП Геря А.В.,540823911368,"{'status': 2, 'id': '615afa4273359506282ae009', 'kind': 'kkt', 'createdAt': '2021-10-04T15:57:38+03:00', 'statusDescription': {}, 'qr': 't=20210927T2111&s=606.83&fn=9288000100189729&i=33027&fp=2454984693&n=1', 'operation': {'date': '2021-09-27T21:11', 'type': 1, 'sum': 60683}, 'process': [{'time': '2021-10-04T12:57:38+00:00', 'result': 21}], 'query': {'operationType': 1, 'sum': 60683, 'documentId': 33027, 'fsId': '9288000100189729', 'fiscalSign': '2454984693', 'date': '2021-09-27T21:11'}, 'ticket': {'document': {'receipt': {'dateTime': 1632766260, 'cashTotalSum': 0, 'code': 3, 'creditSum': 0, 'ecashTotalSum': 60683, 'fiscalDocumentFormatVer': 2, 'fiscalDocumentNumber': 33027, 'fiscalDriveNumber': '9288000100189729', 'fiscalSign': 2454984693, 'fnsUrl': 'www.nalog.ru', 'items': [{'name': 'Шашлык из баранины по-Восточному п/ф', 'paymentType': 4, 'price': 131920, 'productType': 1, 'quantity': 0.46, 'sum': 60683}], 'kktRegId': '0004835830059645    ', 'ndsNo': 60683, 'operationType': 1, 'operator': 'кассир Идиятулина Юлия', 'prepaidSum': 0, 'provisionSum': 0, 'requestNumber': 142, 'retailPlace': 'Супермаркет ТЦ', 'retailPlaceAddress': '630090, г. Новосибирск, ул. Ильича, д.6', 'shiftNumber': 313, 'taxationType': 32, 'appliedTaxationType': 32, 'totalSum': 60683, 'user': 'ИП Геря А.В.', 'userInn': '540823911368'}}}, 'organization': {'name': 'ИП Геря А.В.', 'inn': '540823911368'}, 'seller': {'name': 'ИП Геря А.В.', 'inn': '540823911368'}}",t=20210927T211100&s=606.83&fn=9288000100189729&i=33027&fp=2454984693&n=1,t=20210927T211100&s=606.83&fn=9288000100189729&i=33027&fp=2454984693&n=1,,
,Плетенка ТЦ зерновая 170г,69,1,69,69,2021-09-27 21:08,Супермаркет ТЦ,"630090, г. Новосибирск, ул. Ильича, д.6",ИП Геря А.В.,540823911368,ИП Геря А.В.,540823911368,"{'status': 2, 'id': '615afa519a3b7a373a5a80aa', 'kind': 'kkt', 'createdAt': '2021-10-04T15:57:53+03:00', 'statusDescription': {}, 'qr': 't=20210927T2108&s=69.00&fn=9288000100189729&i=33026&fp=2294787836&n=1', 'operation': {'date': '2021-09-27T21:08', 'type': 1, 'sum': 6900}, 'process': [{'time': '2021-10-04T12:57:53+00:00', 'result': 21}], 'query': {'operationType': 1, 'sum': 6900, 'documentId': 33026, 'fsId': '9288000100189729', 'fiscalSign': '2294787836', 'date': '2021-09-27T21:08'}, 'ticket': {'document': {'receipt': {'dateTime': 1632766080, 'cashTotalSum': 0, 'code': 3, 'creditSum': 0, 'ecashTotalSum': 6900, 'fiscalDocumentFormatVer': 2, 'fiscalDocumentNumber': 33026, 'fiscalDriveNumber': '9288000100189729', 'fiscalSign': 2294787836, 'fnsUrl': 'www.nalog.ru', 'items': [{'name': 'Плетенка ТЦ зерновая 170г', 'paymentType': 4, 'price': 6900, 'productType': 1, 'quantity': 1, 'sum': 6900}], 'kktRegId': '0004835830059645    ', 'ndsNo': 6900, 'operationType': 1, 'operator': 'кассир Идиятулина Юлия', 'prepaidSum': 0, 'provisionSum': 0, 'requestNumber': 141, 'retailPlace': 'Супермаркет ТЦ', 'retailPlaceAddress': '630090, г. Новосибирск, ул. Ильича, д.6', 'shiftNumber': 313, 'taxationType': 32, 'appliedTaxationType': 32, 'totalSum': 6900, 'user': 'ИП Геря А.В.', 'userInn': '540823911368'}}}, 'organization': {'name': 'ИП Геря А.В.', 'inn': '540823911368'}, 'seller': {'name': 'ИП Геря А.В.', 'inn': '540823911368'}}",t=20210927T210800&s=69.00&fn=9288000100189729&i=33026&fp=2294787836&n=1,t=20210927T210800&s=69.00&fn=9288000100189729&i=33026&fp=2294787836&n=1,,
,Батончик Бел.Дерево Фрутилад Банан.клубника 30г,36,1,36,"242,79",2021-09-27 20:52,Супермаркет ТЦ,"г. Новосибирск, ул. Ильича, д.6","ООО ""ТЦ""",5407973235,"ООО ""ТЦ""",5407973235,"{'status': 2, 'id': '615afa7573359506282ae023', 'kind': 'kkt', 'createdAt': '2021-10-04T15:58:29+03:00', 'statusDescription': {}, 'qr': 't=20210927T2052&s=242.79&fn=9288000100190868&i=75037&fp=460397700&n=1', 'operation': {'date': '2021-09-27T20:52', 'type': 1, 'sum': 24279}, 'process': [{'time': '2021-10-04T12:58:29+00:00', 'result': 21}], 'query': {'operationType': 1, 'sum': 24279, 'documentId': 75037, 'fsId': '9288000100190868', 'fiscalSign': '460397700', 'date': '2021-09-27T20:52'}, 'ticket': {'document': {'receipt': {'dateTime': 1632765120, 'cashTotalSum': 0, 'code': 3, 'creditSum': 0, 'ecashTotalSum': 24279, 'fiscalDocumentFormatVer': 2, 'fiscalDocumentNumber': 75037, 'fiscalDriveNumber': '9288000100190868', 'fiscalSign': 460397700, 'fnsUrl': 'www.nalog.ru', 'items': [{'name': 'Батончик Бел.Дерево Фрутилад Банан.клубника 30г', 'nds': 1, 'ndsSum': 600, 'paymentType': 4, 'price': 3600, 'productType': 1, 'quantity': 1, 'sum': 3600}, {'name': 'Голубцы ТЦ Ленивые вес', 'nds': 1, 'ndsSum': 1717, 'paymentType': 4, 'price': 39919, 'productType': 1, 'quantity': 0.258, 'sum': 10299}, {'name': 'Торт ТЦ Из кабачков вес', 'nds': 1, 'ndsSum': 1663, 'paymentType': 4, 'price': 39920, 'productType': 1, 'quantity': 0.25, 'sum': 9980}, {'name': 'Пакет Майка фирменный', 'nds': 1, 'ndsSum': 67, 'paymentType': 4, 'price': 400, 'productType': 1, 'quantity': 1, 'sum': 400}], 'kktRegId': '0004835811019879    ', 'nds18': 4047, 'operationType': 1, 'operator': 'кассир Идиятулина Юлия', 'prepaidSum': 0, 'provisionSum': 0, 'requestNumber': 305, 'retailPlace': 'Супермаркет ТЦ', 'retailPlaceAddress': 'г. Новосибирск, ул. Ильича, д.6', 'shiftNumber': 313, 'taxationType': 1, 'appliedTaxationType': 1, 'totalSum': 24279, 'user': 'ООО ""ТЦ""', 'userInn': '5407973235  '}}}, 'organization': {'name': 'ООО ""ТЦ""', 'inn': '5407973235'}, 'seller': {'name': 'ООО ""ТЦ""', 'inn': '5407973235'}}",t=20210927T205200&s=242.79&fn=9288000100190868&i=75037&fp=460397700&n=1,t=20210927T205200&s=242.79&fn=9288000100190868&i=75037&fp=460397700&n=1,,
,Голубцы ТЦ Ленивые вес,"399,19","0,258","102,99","242,79",2021-09-27 20:52,Супермаркет ТЦ,"г. Новосибирск, ул. Ильича, д.6","ООО ""ТЦ""",5407973235,"ООО ""ТЦ""",5407973235,,,t=20210927T205200&s=242.79&fn=9288000100190868&i=75037&fp=460397700&n=1,,
,Торт ТЦ Из кабачков вес,"399,2","0,25","99,8","242,79",2021-09-27 20:52,Супермаркет ТЦ,"г. Новосибирск, ул. Ильича, д.6","ООО ""ТЦ""",5407973235,"ООО ""ТЦ""",5407973235,,,t=20210927T205200&s=242.79&fn=9288000100190868&i=75037&fp=460397700&n=1,,
,Пакет Майка фирменный,4,1,4,"242,79",2021-09-27 20:52,Супермаркет ТЦ,"г. Новосибирск, ул. Ильича, д.6","ООО ""ТЦ""",5407973235,"ООО ""ТЦ""",5407973235,,,t=20210927T205200&s=242.79&fn=9288000100190868&i=75037&fp=460397700&n=1,,
,60791 Пакет платный майка 28+14*50 14мкм,2,1,2,"123,34",2021-05-08 13:51,"Торговый зал ТЦ ""Маяк""","630058, г. Новосибирск,ул.Русская, д.1","ООО ""Вкусные продукты""",5408010251,"ООО ""Вкусные продукты""",5408010251,"{'status': 2, 'id': '615afa9073359506282ae031', 'kind': 'kkt', 'createdAt': '2021-10-04T15:58:56+03:00', 'statusDescription': {}, 'qr': 't=20210508T1351&s=123.34&fn=9960440300208294&i=12758&fp=2131719921&n=1', 'operation': {'date': '2021-05-08T13:51', 'type': 1, 'sum': 12334}, 'process': [{'time': '2021-10-04T12:58:56+00:00', 'result': 21}], 'query': {'operationType': 1, 'sum': 12334, 'documentId': 12758, 'fsId': '9960440300208294', 'fiscalSign': '2131719921', 'date': '2021-05-08T13:51'}, 'ticket': {'document': {'receipt': {'dateTime': 1620471060, 'cashTotalSum': 0, 'code': 3, 'creditSum': 0, 'ecashTotalSum': 12334, 'fiscalDocumentFormatVer': 2, 'fiscalDocumentNumber': 12758, 'fiscalDriveNumber': '9960440300208294', 'fiscalSign': 2131719921, 'fnsUrl': 'www.nalog.ru', 'items': [{'name': '60791 Пакет платный майка 28+14*50 14мкм', 'paymentType': 4, 'price': 200, 'productType': 1, 'quantity': 1, 'sum': 200}, {'name': '920118 Ряженка ВМ 2.5% БЗМЖ 0.475 т/п', 'paymentType': 4, 'price': 6067, 'productType': 1, 'quantity': 2, 'sum': 12134}], 'kktRegId': '0000927923029130    ', 'ndsNo': 12334, 'operationType': 1, 'operator': 'Мирошникова Е', 'prepaidSum': 0, 'provisionSum': 0, 'requestNumber': 142, 'retailPlace': 'Торговый зал ТЦ ""Маяк""', 'retailPlaceAddress': '630058, г. Новосибирск,ул.Русская, д.1', 'shiftNumber': 60, 'taxationType': 4, 'appliedTaxationType': 4, 'totalSum': 12334, 'user': 'ООО ""Вкусные продукты""', 'userInn': '5408010251  '}}}, 'organization': {'name': 'ООО ""Вкусные продукты""', 'inn': '5408010251'}, 'seller': {'name': 'ООО ""Вкусные продукты""', 'inn': '5408010251'}}",t=20210508T135100&s=123.34&fn=9960440300208294&i=12758&fp=2131719921&n=1,t=20210508T135100&s=123.34&fn=9960440300208294&i=12758&fp=2131719921&n=1,,
,920118 Ряженка ВМ 2.5% БЗМЖ 0.475 т/п,"60,67",2,"121,34","123,34",2021-05-08 13:51,"Торговый зал ТЦ ""Маяк""","630058, г. Новосибирск,ул.Русская, д.1","ООО ""Вкусные продукты""",5408010251,"ООО ""Вкусные продукты""",5408010251,,,t=20210508T135100&s=123.34&fn=9960440300208294&i=12758&fp=2131719921&n=1,,
,КЕТО ПЛЮС ШАМПУНЬ 150МЛ.,928,1,928,928,2021-09-16 21:59,Торговый зал,"630128, г. Новосибирск, ул. Кутателадзе, 4/4","ООО ""Гранд Фарм""",5402044889,"ООО ""Гранд Фарм""",5402044889,"{'status': 2, 'id': '615afaa49a3b7a373a5a80d7', 'kind': 'kkt', 'createdAt': '2021-10-04T15:59:16+03:00', 'statusDescription': {}, 'qr': 't=20210916T2159&s=928.00&fn=9280440301480695&i=8705&fp=444893322&n=1', 'operation': {'date': '2021-09-16T21:59', 'type': 1, 'sum': 92800}, 'process': [{'time': '2021-10-04T12:59:16+00:00', 'result': 21}], 'query': {'operationType': 1, 'sum': 92800, 'documentId': 8705, 'fsId': '9280440301480695', 'fiscalSign': '444893322', 'date': '2021-09-16T21:59'}, 'ticket': {'document': {'receipt': {'dateTime': 1631818740, 'cashTotalSum': 0, 'code': 3, 'creditSum': 0, 'ecashTotalSum': 92800, 'fiscalDocumentFormatVer': 2, 'fiscalDocumentNumber': 8705, 'fiscalDriveNumber': '9280440301480695', 'fiscalSign': 444893322, 'fnsUrl': 'www.nalog.ru', 'items': [{'name': 'КЕТО ПЛЮС ШАМПУНЬ 150МЛ.', 'nds': 2, 'ndsSum': 0, 'paymentType': 4, 'price': 92800, 'productType': 1, 'productCodeData': {'gtin': 8904091113965, 'rawProductCode': '444D0819253019ED4E385832474E454B484B385444', 'productIdType': 6, 'sernum': 'N8X2GNEKHK8TD'}, 'quantity': 1, 'sum': 92800}], 'kktRegId': '0004067186040429    ', 'nds10': 8436, 'operationType': 1, 'operator': ' Яковлева С.Н.', 'operatorInn': '544508841722', 'prepaidSum': 0, 'properties': {'propertyName': 'mdlp', 'propertyValue': 'sid00000000239392&'}, 'provisionSum': 0, 'requestNumber': 155, 'retailPlace': 'Торговый зал', 'retailPlaceAddress': '630128, г. Новосибирск, ул. Кутателадзе, 4/4', 'shiftNumber': 67, 'taxationType': 1, 'appliedTaxationType': 1, 'totalSum': 92800, 'user': 'ООО ""Гранд Фарм""', 'userInn': '5402044889  '}}}, 'organization': {'name': 'ООО ""Гранд Фарм""', 'inn': '5402044889'}, 'seller': {'name': 'ООО ""Гранд Фарм""', 'inn': '5402044889'}}",t=20210916T215900&s=928.00&fn=9280440301480695&i=8705&fp=444893322&n=1,t=20210916T215900&s=928.00&fn=9280440301480695&i=8705&fp=444893322&n=1,,
,КОРВАЛОЛ 25МЛ. КАПЛИ И/У /ФАРМСТАНДАРТ ЛЕКСРЕДСТВА/,28,1,28,1616,2021-09-17 16:37,Торговый зал,"630128, г. Новосибирск, ул. Кутателадзе, 4/4","ООО ""Гранд Фарм""",5402044889,"ООО ""Гранд Фарм""",5402044889,"{'status': 2, 'id': '615afaae73359506282ae041', 'kind': 'kkt', 'createdAt': '2021-10-04T15:59:26+03:00', 'statusDescription': {}, 'qr': 't=20210917T1637&s=1616.00&fn=9280440301480695&i=8771&fp=1058781045&n=1', 'operation': {'date': '2021-09-17T16:37', 'type': 1, 'sum': 161600}, 'process': [{'time': '2021-10-04T12:59:26+00:00', 'result': 21}], 'query': {'operationType': 1, 'sum': 161600, 'documentId': 8771, 'fsId': '9280440301480695', 'fiscalSign': '1058781045', 'date': '2021-09-17T16:37'}, 'ticket': {'document': {'receipt': {'dateTime': 1631885820, 'cashTotalSum': 0, 'code': 3, 'creditSum': 0, 'ecashTotalSum': 161600, 'fiscalDocumentFormatVer': 2, 'fiscalDocumentNumber': 8771, 'fiscalDriveNumber': '9280440301480695', 'fiscalSign': 1058781045, 'fnsUrl': 'www.nalog.ru', 'items': [{'name': 'КОРВАЛОЛ 25МЛ. КАПЛИ И/У /ФАРМСТАНДАРТ ЛЕКСРЕДСТВА/', 'nds': 2, 'ndsSum': 0, 'paymentType': 4, 'price': 2800, 'productType': 1, 'productCodeData': {'gtin': 4601669002051, 'rawProductCode': '444D042F68D8A3433436334935784E495541654376', 'productIdType': 6, 'sernum': '463I5xNIUAeCv'}, 'quantity': 1, 'sum': 2800}, {'name': 'СИНГУЛЯР 5МГ. №28 ТАБ.ЖЕВ.', 'nds': 2, 'ndsSum': 0, 'paymentType': 4, 'price': 158800, 'productType': 1, 'productCodeData': {'gtin': 4601969008692, 'rawProductCode': '444D042F7ABA603430303038353530393239313636', 'productIdType': 6, 'sernum': '0008550929166'}, 'quantity': 1, 'sum': 158800}], 'kktRegId': '0004067186040429    ', 'nds10': 14691, 'operationType': 1, 'operator': 'Фармацевт Бахтурова А.С.', 'prepaidSum': 0, 'properties': {'propertyName': 'mdlp', 'propertyValue': 'sid00000000239392&'}, 'provisionSum': 0, 'requestNumber': 64, 'retailPlace': 'Торговый зал', 'retailPlaceAddress': '630128, г. Новосибирск, ул. Кутателадзе, 4/4', 'shiftNumber': 68, 'taxationType': 1, 'appliedTaxationType': 1, 'totalSum': 161600, 'user': 'ООО ""Гранд Фарм""', 'userInn': '5402044889  '}}}, 'organization': {'name': 'ООО ""Гранд Фарм""', 'inn': '5402044889'}, 'seller': {'name': 'ООО ""Гранд Фарм""', 'inn': '5402044889'}}",t=20210917T163700&s=1616.00&fn=9280440301480695&i=8771&fp=1058781045&n=1,t=20210917T163700&s=1616.00&fn=9280440301480695&i=8771&fp=1058781045&n=1,,
,СИНГУЛЯР 5МГ. №28 ТАБ.ЖЕВ.,1588,1,1588,1616,2021-09-17 16:37,Торговый зал,"630128, г. Новосибирск, ул. Кутателадзе, 4/4","ООО ""Гранд Фарм""",5402044889,"ООО ""Гранд Фарм""",5402044889,,,t=20210917T163700&s=1616.00&fn=9280440301480695&i=8771&fp=1058781045&n=1,,
,МАСКА МЕД. ОДНОРАЗ. №1,10,5,50,50,2021-09-17 10:00,Торговый зал,"630128, г. Новосибирск, ул. Кутателадзе, 4/4","ООО ""Гранд Фарм""",5402044889,"ООО ""Гранд Фарм""",5402044889,"{'status': 2, 'id': '615afabd73359506282ae04c', 'kind': 'kkt', 'createdAt': '2021-10-04T15:59:41+03:00', 'statusDescription': {}, 'qr': 't=20210917T1000&s=50.00&fn=9280440301480695&i=8712&fp=1403857042&n=1', 'operation': {'date': '2021-09-17T10:00', 'type': 1, 'sum': 5000}, 'process': [{'time': '2021-10-04T12:59:41+00:00', 'result': 21}], 'query': {'operationType': 1, 'sum': 5000, 'documentId': 8712, 'fsId': '9280440301480695', 'fiscalSign': '1403857042', 'date': '2021-09-17T10:00'}, 'ticket': {'document': {'receipt': {'dateTime': 1631862000, 'cashTotalSum': 0, 'code': 3, 'creditSum': 0, 'ecashTotalSum': 5000, 'fiscalDocumentFormatVer': 2, 'fiscalDocumentNumber': 8712, 'fiscalDriveNumber': '9280440301480695', 'fiscalSign': 1403857042, 'fnsUrl': 'www.nalog.ru', 'items': [{'name': 'МАСКА МЕД. ОДНОРАЗ. №1', 'nds': 2, 'ndsSum': 0, 'paymentType': 4, 'price': 1000, 'productType': 1, 'quantity': 5, 'sum': 5000}], 'kktRegId': '0004067186040429    ', 'nds10': 455, 'operationType': 1, 'operator': 'Фармацевт Бахтурова А.С.', 'prepaidSum': 0, 'provisionSum': 0, 'requestNumber': 5, 'retailPlace': 'Торговый зал', 'retailPlaceAddress': '630128, г. Новосибирск, ул. Кутателадзе, 4/4', 'shiftNumber': 68, 'taxationType': 1, 'appliedTaxationType': 1, 'totalSum': 5000, 'user': 'ООО ""Гранд Фарм""', 'userInn': '5402044889  '}}}, 'organization': {'name': 'ООО ""Гранд Фарм""', 'inn': '5402044889'}, 'seller': {'name': 'ООО ""Гранд Фарм""', 'inn': '5402044889'}}",t=20210917T100000&s=50.00&fn=9280440301480695&i=8712&fp=1403857042&n=1,t=20210917T100000&s=50.00&fn=9280440301480695&i=8712&fp=1403857042&n=1,,
,ФЛАМИН 50МГ. №30 ТАБ. /ЗДОРОВЬЕ/,162,1,162,352,2021-09-17 16:13,Торговый зал,"630128, г. Новосибирск, ул. Кутателадзе, 4/4","ООО ""Гранд Фарм""",5402044889,"ООО ""Гранд Фарм""",5402044889,"{'status': 2, 'id': '615afae29a3b7a373a5a80f4', 'kind': 'kkt', 'createdAt': '2021-10-04T16:00:18+03:00', 'statusDescription': {}, 'qr': 't=20210917T1613&s=352.00&fn=9280440301480695&i=8765&fp=4262370812&n=1', 'operation': {'date': '2021-09-17T16:13', 'type': 1, 'sum': 35200}, 'process': [{'time': '2021-10-04T13:00:18+00:00', 'result': 21}], 'query': {'operationType': 1, 'sum': 35200, 'documentId': 8765, 'fsId': '9280440301480695', 'fiscalSign': '4262370812', 'date': '2021-09-17T16:13'}, 'ticket': {'document': {'receipt': {'dateTime': 1631884380, 'cashTotalSum': 0, 'code': 3, 'creditSum': 0, 'ecashTotalSum': 35200, 'fiscalDocumentFormatVer': 2, 'fiscalDocumentNumber': 8765, 'fiscalDriveNumber': '9280440301480695', 'fiscalSign': 4262370812, 'fnsUrl': 'www.nalog.ru', 'items': [{'name': 'ФЛАМИН 50МГ. №30 ТАБ. /ЗДОРОВЬЕ/', 'nds': 2, 'ndsSum': 0, 'paymentType': 4, 'price': 16200, 'productType': 1, 'productCodeData': {'gtin': 4820044111335, 'rawProductCode': '444D046241045DE736394B50414837303645393130', 'productIdType': 6, 'sernum': '69KPAH706E910'}, 'quantity': 1, 'sum': 16200}, {'name': 'СТРЕПСИЛС МЕНТОЛ+ЭВКАЛИПТ №24 ТАБ.', 'nds': 2, 'ndsSum': 0, 'paymentType': 4, 'price': 19000, 'productType': 1, 'productCodeData': {'gtin': 5000158100169, 'rawProductCode': '444D048C30A5BAC93731304B334459435050313739', 'productIdType': 6, 'sernum': '710K3DYCPP179'}, 'quantity': 1, 'sum': 19000}], 'kktRegId': '0004067186040429    ', 'nds10': 3200, 'operationType': 1, 'operator': 'Фармацевт Бахтурова А.С.', 'prepaidSum': 0, 'properties': {'propertyName': 'mdlp', 'propertyValue': 'sid00000000239392&'}, 'provisionSum': 0, 'requestNumber': 58, 'retailPlace': 'Торговый зал', 'retailPlaceAddress': '630128, г. Новосибирск, ул. Кутателадзе, 4/4', 'shiftNumber': 68, 'taxationType': 1, 'appliedTaxationType': 1, 'totalSum': 35200, 'user': 'ООО ""Гранд Фарм""', 'userInn': '5402044889  '}}}, 'organization': {'name': 'ООО ""Гранд Фарм""', 'inn': '5402044889'}, 'seller': {'name': 'ООО ""Гранд Фарм""', 'inn': '5402044889'}}",t=20210917T161300&s=352.00&fn=9280440301480695&i=8765&fp=4262370812&n=1,t=20210917T161300&s=352.00&fn=9280440301480695&i=8765&fp=4262370812&n=1,,
,СТРЕПСИЛС МЕНТОЛ+ЭВКАЛИПТ №24 ТАБ.,190,1,190,352,2021-09-17 16:13,Торговый зал,"630128, г. Новосибирск, ул. Кутателадзе, 4/4","ООО ""Гранд Фарм""",5402044889,"ООО ""Гранд Фарм""",5402044889,,,t=20210917T161300&s=352.00&fn=9280440301480695&i=8765&fp=4262370812&n=1,,
,ТОРГ ЛАЙНС СУ-ДЖОК КОМПЛЕКТ МАССАЖЕРОВ (2КОЛЬЦА+ШАРИК),64,1,64,64,2021-09-18 12:29,Торговый зал,"630128, г. Новосибирск, ул. Кутателадзе, 4/4","ООО ""Гранд Фарм""",5402044889,"ООО ""Гранд Фарм""",5402044889,"{'status': 2, 'id': '615afaef9e4beb5196147cbb', 'kind': 'kkt', 'createdAt': '2021-10-04T16:00:32+03:00', 'statusDescription': {}, 'qr': 't=20210918T1229&s=64.00&fn=9280440301480695&i=8875&fp=767261120&n=1', 'operation': {'date': '2021-09-18T12:29', 'type': 1, 'sum': 6400}, 'process': [{'time': '2021-10-04T13:00:32+00:00', 'result': 21}], 'query': {'operationType': 1, 'sum': 6400, 'documentId': 8875, 'fsId': '9280440301480695', 'fiscalSign': '767261120', 'date': '2021-09-18T12:29'}, 'ticket': {'document': {'receipt': {'dateTime': 1631957340, 'cashTotalSum': 0, 'code': 3, 'creditSum': 0, 'ecashTotalSum': 6400, 'fiscalDocumentFormatVer': 2, 'fiscalDocumentNumber': 8875, 'fiscalDriveNumber': '9280440301480695', 'fiscalSign': 767261120, 'fnsUrl': 'www.nalog.ru', 'items': [{'name': 'ТОРГ ЛАЙНС СУ-ДЖОК КОМПЛЕКТ МАССАЖЕРОВ (2КОЛЬЦА+ШАРИК)', 'nds': 2, 'ndsSum': 0, 'paymentType': 4, 'price': 6400, 'productType': 1, 'quantity': 1, 'sum': 6400}], 'kktRegId': '0004067186040429    ', 'nds10': 582, 'operationType': 1, 'operator': 'Фармацевт Бахтурова А.С.', 'prepaidSum': 0, 'provisionSum': 0, 'requestNumber': 37, 'retailPlace': 'Торговый зал', 'retailPlaceAddress': '630128, г. Новосибирск, ул. Кутателадзе, 4/4', 'shiftNumber': 69, 'taxationType': 1, 'appliedTaxationType': 1, 'totalSum': 6400, 'user': 'ООО ""Гранд Фарм""', 'userInn': '5402044889  '}}}, 'organization': {'name': 'ООО ""Гранд Фарм""', 'inn': '5402044889'}, 'seller': {'name': 'ООО ""Гранд Фарм""', 'inn': '5402044889'}}",t=20210918T122900&s=64.00&fn=9280440301480695&i=8875&fp=767261120&n=1,t=20210918T122900&s=64.00&fn=9280440301480695&i=8875&fp=767261120&n=1,,
